id,headline,desc,summary_text,publish_date,display_time,link,thumbnail,sentiment,sentiment_label
25dbcf43-934f-3c7c-afa0-55594211df4b,"Micron to cease chip sales to China, bitcoin sinks to 4-month low","<p>Market Catalysts host <a data-i13n=""cpos:1;pos:1"" href=""https://www.yahoo.com/author/alexandra-canal/?.tsrc=fin-srch"">Allie Canal</a> tracks several of the day's top trending stock tickers, including Micron Technology's (<a data-i13n=""cpos:2;pos:1"" href=""https://finance.yahoo.com/quote/MU"">MU</a>) move to stop supplying chips to data centers in China, bitcoin (<a data-i13n=""cpos:3;pos:1"" href=""https://finance.yahoo.com/quote/BTC-USD"">BTC-USD</a>) plunging this week to a four-month low, and Apple (<a data-i13n=""cpos:4;pos:1"" href=""https://finance.yahoo.com/quote/AAPL"">AAPL</a>) signing a deal to be the official broadcaster of Formula One (<a data-i13n=""cpos:5;pos:1"" href=""https://finance.yahoo.com/quote/FWONK"">FWONK</a>, <a data-i13n=""cpos:6;pos:1"" href=""https://finance.yahoo.com/quote/FWONA"">FWONA</a>).</p>
<p>To watch more expert insights and analysis on the latest market action, check out more <a data-i13n=""cpos:7;pos:1"" href=""https://finance.yahoo.com/videos/series/market-catalysts/"">Market Catalysts</a>.</p>","Market Catalysts host Allie Canal tracks several of the day's top trending stock tickers, including Micron Technology's (MU) move to stop supplying chips to data centers in China, bitcoin (BTC-USD) plunging this week to a four-month low, and Apple (AAPL) signing a deal to be the official broadcaster of Formula One (FWONK, FWONA). To watch more expert insights and analysis on the latest market action, check out more&nbsp;Market Catalysts.",2025-10-17T14:45:27Z,,,,-0.2732,negative
70b2379a-1ba3-49d2-9fe2-0db294db1c8f,"AI can't justify its massive buildout — but doesn't have to, yet",,The absence of profitable AI services doesn't undermine the massive buildout; it justifies it.,2025-10-17T10:00:18Z,2025-10-17T10:00:18Z,,,0.0,neutral
8d0a82df-26ac-3971-83f2-a830d0bc1e75,Apple's iPhone Air Sells Out in Minutes Across China,,Ultra-thin titanium model sparks massive demand as Cook visits Beijing,2025-10-17T22:28:25Z,2025-10-17T22:28:25Z,,,0.0,neutral
9e2e5ac4-8264-3179-ae06-7ee4be50d12e,Why Apple (AAPL) Outpaced the Stock Market Today,,"Apple (AAPL) reached $252.29 at the closing of the latest trading day, reflecting a +1.96% change compared to its last close.",2025-10-17T21:45:03Z,2025-10-17T21:45:03Z,,,0.0,neutral
6d86a084-cd74-353d-9cdc-a701abd22fda,Crypto Titans Join Trump’s White House Fundraiser for $250M Ballroom Project,,"Crypto moguls and tech titans back Trump’s $250M White House ballroom plan—raising funds, power, and controversy.",2025-10-17T21:02:14Z,2025-10-17T21:02:14Z,,,0.296,positive
569ac535-7275-3887-93bd-8c2be321362f,"Sell Tesla Stock, Analyst Says. Why Shares Are Rising.",,"Thursday, BNP Paribas Exane analyst James Picariello launched coverage of Tesla stock with a Sell rating and $307 price target.",2025-10-17T20:21:00Z,2025-10-17T20:21:00Z,,,0.296,positive
96ac67f6-ede8-3561-8dde-27a1919d0eb1,Sector Update: Tech Stocks Mixed Late Afternoon,,"Tech stocks were mixed late Friday afternoon, with the Technology Select Sector SPDR Fund (XLK) gain",2025-10-17T19:55:47Z,2025-10-17T19:55:47Z,,,0.0,neutral
bf90454a-3f79-3856-8c26-c464cf5b21f3,ARM Skyrockets 17% in a Month: Should You Board the Train?,,"ARM's 17% surge highlights its dominance in mobile chips and AI, but China risks and high valuations urge investor caution.",2025-10-17T18:00:00Z,2025-10-17T18:00:00Z,,,0.0,neutral
fa01d25d-df33-3d88-a080-0b7dc534aa2a,This new Apple gift card comes with Bitcoin rewards,,"Bitcoin rewards app Fold has added Apple to its growing list of supported merchants, allowing users to earn Bitcoin (BTC) for everyday spending. In a post on X on Oct. 15, the company announced that Fold+ members can now get 2.5% back in Bitcoin when purchasing Apple gift cards through the ...",2025-10-17T17:39:19Z,2025-10-17T17:39:19Z,,,0.7184,positive
fca6c66f-fcfd-36cd-93cc-11f77fe56a19,Apple Commits New Investments in Both China and the U.S.,,CEO Tim Cook balances expansion between two key markets amid global supply chain competition.,2025-10-17T17:06:14Z,2025-10-17T17:06:14Z,,,0.0258,neutral
